Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02147004


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2147004;1;01/07/2019;1;17,4;19,4;5;2;1;1;1;;0;0,0;0,0;0,0;0,0;17,4;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/06/2019;1;8,5;8,5;4;1;1;1;1;;0;0,0;0,0;0,0;8,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
2147004;1;01/05/2019;1;12,5;21,2;10;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,5;0,0;0,0;0,0;0,0;0,0;0,0;4,5;3,2;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/04/2019;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;14,3;;13,0;0,0;0,0;0,0;0,0;33,1;29,1;0,0;2,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
2147004;1;01/03/2019;1;;;;;0;0;0;;0;6,8;39,0;;4,3;2,2;4,0;2,1;5,6;0,0;0,0;7,8;0,0;25,6;1,0;32,2;0,0;12,0;0,0;0,0;0,0;22,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/02/2019;1;;;;;0;0;0;;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;1,9;2,0;;35,1;8,0;0,0;0,0;21,0;13,0;27,1;0,0;0,0;0,0;35,0;0,3;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;;;;
2147004;1;01/01/2019;1;49,0;168,1;1;11;1;1;1;;0;49,0;0,0;0,0;5,8;23,8;1,2;1,5;1,1;0,0;0,0;0,0;0,0;10,8;0,0;19,7;0,0;0,0;0,0;0,0;0,0;8,6;0,0;0,0;0,0;28,1;0,0;18,5;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/12/2018;1;;;;;0;0;0;;0;0,0;14,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;15,0;15,0;0,0;42,0;;1,0;0,0;1,1;9,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;
2147004;1;01/11/2018;1;49,0;217,8;24;15;1;1;1;;0;36,2;0,0;0,0;0,6;0,0;0,0;2,0;9,3;21,0;1,6;28,6;0,0;0,0;0,0;0,0;14,2;1,8;0,0;11,0;18,3;0,0;0,0;1,1;49,0;10,0;13,1;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
2147004;1;01/10/2018;1;;;;;0;0;0;;0;1,2;6,0;0,0;23,1;0,0;0,0;61,0;8,1;6,9;24,0;0,0;0,0;0,0;10,0;0,0;0,0;;50,0;32,8;0,0;0,0;0,0;0,0;;17,1;12,0;2,0;0,7;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;1;1;1;1;1;1;1;
2147004;1;01/09/2018;1;23,5;71,9;15;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;23,5;0,0;11,2;9,1;0,4;12,5;11,3;0,0;0,0;0,0;0,0;3,3;0,0;0,0;0,3;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
2147004;1;01/08/2018;1;13,9;20,5;4;6;1;1;1;;0;0,0;0,6;0,0;13,9;0,0;0,0;1,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;4,5;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/07/2018;1;1,4;1,4;31;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/06/2018;1;4,9;4,9;6;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
2147004;1;01/05/2018;1;14,0;15,8;20;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/04/2018;1;37,8;38,1;2;2;1;1;1;;0;0,0;37,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
2147004;1;01/03/2018;1;;;;;0;0;0;;0;22,3;0,0;0,0;3,0;0,0;3,0;16,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,7;2,2;0,0;0,0;0,0;0,0;;9,0;0,0;0,0;1,5;0,0;6,3;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/02/2018;1;61,8;279,5;11;13;1;1;1;;0;0,0;0,0;0,0;0,0;7,7;0,0;13,2;0,0;0,0;31,0;61,8;0,0;0,0;18,3;0,0;0,0;9,8;0,0;41,0;5,3;17,2;0,0;0,0;43,7;0,0;6,9;22,6;1,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
2147004;1;01/01/2018;1;;;;;0;0;0;;0;;;18,4;1,5;31,0;17,6;6,8;22,1;11,0;17,3;8,1;25,3;0,0;8,3;4,1;0,0;0,0;11,0;0,0;0,0;0,0;0,0;0,0;1,3;1,7;0,0;0,0;6,2;32,2;4,0;16,1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2147004;1;01/01/2015;1;;;;;0;0;0;;;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;7,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;49,5;2,3;0,4;0,9;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;
2147004;1;01/12/2014;1;42,5;187,8;1;11;1;1;1;;;42,5;0,0;0,0;0,0;0,0;1,6;0,0;0,0;0,0;18,6;0,4;11,1;11,4;30,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;8,5;21,7;32,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
