//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 61834000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
61834000;1;01/11/1941;;1;1;203,49;76,191;122,2489;9;1;1;1;1;;;76,191;95,221;111,284;140,582;120,343;109,483;166,899;197,65;203,49;187,968;161,211;135,022;116,708;104,105;100,539;93,457;98,762;118,523;123,992;138,726;138,726;120,343;118,523;98,762;86,445;102,32;104,105;104,105;98,762;95,221;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/12/1941;;1;1;195,709;98,762;144,8785;23;1;1;1;1;;;98,762;120,343;138,726;146,172;153,667;142,442;125,822;118,523;116,708;104,105;104,105;129,492;157,433;157,433;140,582;136,872;136,872;157,433;166,899;178,351;180,269;176,435;195,709;191,834;166,899;146,172;136,872;127,655;135,022;144,305;159,32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/01/1942;;1;1;233,006;120,343;167,6371;11;29;1;1;1;;;172,613;180,269;193,77;193,77;182,19;182,19;180,269;159,32;159,32;211,309;233,006;221,137;207,395;186,04;157,433;155,549;151,789;172,613;176,435;172,613;166,899;159,32;155,549;138,726;131,332;159,32;138,726;122,165;120,343;122,165;133,175;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/02/1942;;1;1;559,979;146,172;273,2027;28;10;1;1;1;;;166,899;205,441;265,038;301,685;283,284;229,041;189,9;161,211;153,667;146,172;149,913;170,705;178,351;176,435;166,899;161,211;184,113;189,9;221,137;316,099;366,158;411,521;460,004;489,648;497,122;469,84;378,304;559,979;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
61834000;1;01/03/1942;;1;1;457,552;219,167;316,9044;7;31;1;1;1;;;273,127;271,102;305,794;334,758;385,371;425,942;457,552;452,657;425,942;399,588;397,211;374,592;359,849;370,372;347,274;334,758;326,448;301,685;287,36;273,127;254,97;238,971;271,102;275,155;269,079;254,97;248,955;236,98;229,041;221,137;219,167;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/04/1942;;1;1;254,97;140,582;200,9295;8;30;1;1;1;;;233,006;233,006;225,085;199,594;201,541;221,137;238,971;254,97;240,963;227,062;207,395;193,77;178,351;178,351;215,234;240,963;254,97;240,963;213,27;193,77;184,113;180,269;176,435;168,801;161,211;159,32;155,549;159,32;149,913;140,582;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/05/1942;;1;1;157,433;102,32;124,7036;9;29;1;1;1;;;138,726;136,872;138,726;135,022;135,022;136,872;144,305;153,667;157,433;144,305;138,726;136,872;133,175;123,992;122,165;120,343;120,343;118,523;118,523;116,708;116,708;114,896;114,896;113,088;109,483;105,893;105,893;104,105;102,32;104,105;104,105;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/06/1942;;1;1;104,105;86,445;97,4869;12;29;1;1;1;;;102,32;102,32;102,32;102,32;100,539;100,539;100,539;100,539;102,32;102,32;102,32;104,105;104,105;104,105;102,32;102,32;100,539;98,762;98,762;96,99;89,942;89,942;93,457;93,457;89,942;88,191;88,191;88,191;86,445;86,445;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/07/1942;;1;1;93,457;74,524;84,3131;8;30;1;1;1;;;86,445;86,445;86,445;86,445;86,445;88,191;91,698;93,457;91,698;88,191;88,191;91,698;86,445;86,445;88,191;88,191;88,191;84,703;84,703;82,993;82,993;82,993;81,273;77,872;77,872;77,872;76,191;76,191;76,191;74,524;74,524;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/08/1942;;1;1;74,524;58,595;66,7011;1;31;1;1;1;;;74,524;74,524;72,87;64,801;74,524;74,524;72,87;71,229;69,602;67,988;67,988;67,988;66,388;66,388;67,988;67,988;66,388;66,388;64,801;64,801;64,801;64,801;64,801;63,229;63,229;61,67;61,67;60,125;60,125;60,125;58,595;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
